Name,Type,Power,Toughness,Mana Cost,Colors,Text,Quantity,Standard Legal
Titania's Command,Sorcery,,,{4}{G}{G},G,"Choose two —
• Exile target player's graveyard. You gain 1 life for each card exiled this way.
• Search your library for up to two land cards, put them onto the battlefield tapped, then shuffle.
• Create two 2/2 green Bear creature tokens.
• Put two +1/+1 counters on each creature you control.",1,True
Tomakul Honor Guard,Creature — Human Soldier,3.0,1.0,{1}{G},G,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)",2,True
Wasteful Harvest,Instant,,,{2}{G},G,"Mill five cards. You may put a permanent card from among the cards milled this way into your hand. (To mill a card, put the top card of your library into your graveyard.)",1,True
Boulderbranch Golem,Artifact Creature — Golem,6.0,5.0,{7},G,"Prototype {3}{G} — 3/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
When this creature enters, you gain life equal to its power.",3,True
Haywire Mite,Artifact Creature — Insect,1.0,1.0,{1},G,"When this creature dies, you gain 2 life.
{G}, Sacrifice this creature: Exile target noncreature artifact or noncreature enchantment.",4,True
Deathbloom Ritualist,Creature — Elf Warlock,3.0,5.0,{3}{B}{G},"B,G","{T}: Add X mana of any one color, where X is the number of creature cards in your graveyard.",2,True
Skyfisher Spider,Creature — Spider,3.0,3.0,{2}{B}{G},"B,G","Reach
When this creature enters, you may sacrifice another creature. When you do, destroy target nonland permanent.
When this creature dies, you may gain 1 life for each creature card in your graveyard. If you do, exile this creature from your graveyard.",2,True
Llanowar Wastes,Land,,,,"B,G","{T}: Add {C}.
{T}: Add {B} or {G}. This land deals 1 damage to you.",1,True
Anoint with Affliction,Instant,,,{1}{B},B,"Exile target creature if it has mana value 3 or less.
Corrupted — Exile that creature instead if its controller has three or more poison counters.",1,True
Archfiend of the Dross,Creature — Phyrexian Demon,6.0,6.0,{2}{B}{B},B,"Flying
This creature enters with four oil counters on it.
At the beginning of your upkeep, remove an oil counter from this creature. Then if it has no oil counters on it, you lose the game.
Whenever a creature an opponent controls dies, its controller loses 2 life.",1,True
Black Sun's Twilight,Instant,,,{X}{B},B,"Up to one target creature gets -X/-X until end of turn. If X is 5 or more, return a creature card with mana value X or less from your graveyard to the battlefield tapped.",2,True
Blightbelly Rat,Creature — Phyrexian Rat,2.0,2.0,{1}{B},B,"Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)
When this creature dies, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",1,True
Bonepicker Skirge,Creature — Phyrexian Imp,2.0,2.0,{2}{B},B,"Flying
Corrupted — As long as an opponent has three or more poison counters, this creature has deathtouch and lifelink.",3,True
Feed the Infection,Sorcery,,,{3}{B},B,"You draw three cards and you lose 3 life.
Corrupted — Each opponent who has three or more poison counters loses 3 life.",1,True
"Geth, Thane of Contracts",Legendary Creature — Phyrexian Zombie,3.0,4.0,{1}{B}{B},B,"Other creatures you control get -1/-1.
{1}{B}{B}, {T}: Return target creature card from your graveyard to the battlefield. It gains ""If this creature would leave the battlefield, exile it instead of putting it anywhere else."" Activate only as a sorcery.",1,True
Infectious Inquiry,Sorcery,,,{2}{B},B,You draw two cards and you lose 2 life. Each opponent gets a poison counter.,1,True
Necrogen Communion,Enchantment — Aura,,,{1}{B},B,"Enchant creature you control
Enchanted creature has toxic 2. (Players dealt combat damage by it also get two poison counters.)
When enchanted creature dies, return that card to the battlefield under your control.",1,True
Pestilent Syphoner,Creature — Phyrexian Insect,1.0,1.0,{1}{B},B,"Flying
Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)",1,True
Phyrexian Arena,Enchantment,,,{1}{B}{B},B,"At the beginning of your upkeep, you draw a card and you lose 1 life.",2,True
Sheoldred's Headcleaver,Creature — Phyrexian Warrior,2.0,4.0,{3}{B},B,"Menace
Toxic 2 (Players dealt combat damage by this creature also get two poison counters.)",2,True
Stinging Hivemaster,Creature — Phyrexian Warlock,3.0,2.0,{2}{B},B,"Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)
When this creature dies, create a 1/1 colorless Phyrexian Mite artifact creature token with toxic 1 and ""This token can't block.""",3,True
Testament Bearer,Creature — Phyrexian Warrior,4.0,1.0,{3}{B},B,"When this creature dies, look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.",3,True
"Vraan, Executioner Thane",Legendary Creature — Phyrexian Vampire,2.0,2.0,{1}{B},B,"Whenever one or more other creatures you control die, each opponent loses 2 life and you gain 2 life. This ability triggers only once each turn.",1,True
Carnivorous Canopy,Sorcery,,,{2}{G},G,"Destroy target artifact, enchantment, or creature with flying. If that permanent's mana value was 3 or less, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",1,True
Conduit of Worlds,Artifact,,,{2}{G}{G},G,"You may play lands from your graveyard.
{T}: Choose target nonland permanent card in your graveyard. If you haven't cast a spell this turn, you may cast that card. If you do, you can't cast additional spells this turn. Activate only as a sorcery.",1,True
Copper Longlegs,Creature — Phyrexian Spider,1.0,3.0,{1}{G},G,"Reach
{1}{G}, Sacrifice this creature: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",1,True
Evolved Spinoderm,Creature — Phyrexian Beast,5.0,5.0,{2}{G}{G},G,"This creature enters with four oil counters on it.
This creature has trample as long as it has two or fewer oil counters on it. Otherwise, it has hexproof.
At the beginning of your upkeep, remove an oil counter from this creature. Then if it has no oil counters on it, sacrifice it.",2,True
Evolving Adaptive,Creature — Phyrexian Warrior,,,{G},G,"This creature enters with an oil counter on it.
This creature gets +1/+1 for each oil counter on it.
Whenever another creature you control enters, if that creature has greater power or toughness than this creature, put an oil counter on this creature.",1,True
Incubation Sac,Artifact,,,{G},G,"This artifact enters with three oil counters on it.
{4}, {T}, Remove an oil counter from this artifact: Create a 3/3 colorless Phyrexian Golem artifact creature token. Activate only as a sorcery.",2,True
Lattice-Blade Mantis,Creature — Phyrexian Insect,4.0,3.0,{3}{G},G,"This creature enters with two oil counters on it.
Whenever this creature attacks, you may remove an oil counter from it. If you do, untap it and it gets +1/+1 until end of turn.",2,True
Maze's Mantle,Enchantment — Aura,,,{2}{G},G,"Flash
Enchant creature
When this Aura enters, if enchanted creature has toxic, that creature gains hexproof until end of turn.
Enchanted creature gets +2/+2.",1,True
Plague Nurse,Creature — Phyrexian Cleric,3.0,4.0,{3}{G},G,"Toxic 2
{2}{G}: Each other creature you control with toxic gains toxic 1 until end of turn. Activate only once each turn. (A player dealt combat damage by a creature with toxic also gets poison counters equal to that creature's total toxic value.)",1,True
Ruthless Predation,Sorcery,,,{1}{G},G,Target creature you control gets +1/+2 until end of turn. It fights target creature you don't control. (Each deals damage equal to its power to the other.),1,True
Sylvok Battle-Chair,Artifact — Equipment,,,{4}{G}{G},G,"For Mirrodin! (When this Equipment enters, create a 2/2 red Rebel creature token, then attach this to it.)
Equipped creature gets +4/+4 and has trample.
Equip {5}{G}{G}",3,True
Thirsting Roots,Sorcery,,,{G},G,"Choose one —
• Search your library for a basic land card, reveal it, put it into your hand, then shuffle.
• Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",1,True
Tyrranax Atrocity,Creature — Phyrexian Dinosaur,4.0,4.0,{3}{G}{G},G,"Haste
Toxic 3 (Players dealt combat damage by this creature also get three poison counters.)",2,True
Glissa Sunslayer,Legendary Creature — Phyrexian Zombie Elf,3.0,3.0,{1}{B}{G},"B,G","First strike, deathtouch
Whenever Glissa Sunslayer deals combat damage to a player, choose one —
• You draw a card and you lose 1 life.
• Destroy target enchantment.
• Remove up to three counters from target permanent.",3,True
Necrogen Rotpriest,Creature — Phyrexian Zombie Cleric,1.0,5.0,{2}{B}{G},"B,G","Toxic 2 (Players dealt combat damage by this creature also get two poison counters.)
Whenever a creature you control with toxic deals combat damage to a player, that player gets an additional poison counter.
{1}{B}{G}: Target creature you control with toxic gains deathtouch until end of turn.",2,True
Dross Skullbomb,Artifact,,,{1},B,"{1}, Sacrifice this artifact: Draw a card.
{2}{B}, Sacrifice this artifact: Return target creature card from your graveyard to your hand. Draw a card. Activate only as a sorcery.",3,True
The Dross Pits,Land — Sphere,,,,B,"This land enters tapped.
{T}: Add {B}.
{1}{B}, {T}, Sacrifice this land: Draw a card.",1,True
Bloated Processor,Creature — Phyrexian,3.0,2.0,{2}{B},B,"Sacrifice another Phyrexian: Put a +1/+1 counter on this creature.
When this creature dies, incubate X, where X is its power. (Create an Incubator token with X +1/+1 counters on it and ""{2}: Transform this token."" It transforms into a 0/0 Phyrexian artifact creature.)",1,True
Breach the Multiverse,Sorcery,,,{5}{B}{B},B,"Each player mills ten cards. For each player, choose a creature or planeswalker card in that player's graveyard. Put those cards onto the battlefield under your control. Then each creature you control becomes a Phyrexian in addition to its other types.",2,True
Corrupted Conviction,Instant,,,{B},B,"As an additional cost to cast this spell, sacrifice a creature.
Draw two cards.",3,True
Deadly Derision,Instant,,,{2}{B}{B},B,"Destroy target creature or planeswalker. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",3,True
Etched Familiar,Artifact Creature — Phyrexian Fox,3.0,2.0,{2}{B},B,"When this creature dies, each opponent loses 2 life and you gain 2 life.",3,True
Etched Host Doombringer,Creature — Phyrexian Demon,3.0,5.0,{4}{B},B,"When this creature enters, choose one —
• Target opponent loses 2 life and you gain 2 life.
• Choose target battle. If an opponent protects it, remove three defense counters from it. Otherwise, put three defense counters on it.",2,True
Final Flourish,Instant,,,{1}{B},B,"Kicker—Sacrifice an artifact or creature. (You may sacrifice an artifact or creature in addition to any other costs as you cast this spell.)
Target creature gets -2/-2 until end of turn. If this spell was kicked, that creature gets -6/-6 until end of turn instead.",3,True
Glistening Deluge,Sorcery,,,{1}{B}{B},B,All creatures get -1/-1 until end of turn. Creatures that are green and/or white get an additional -2/-2 until end of turn.,1,True
Grafted Butcher,Creature — Phyrexian Samurai,2.0,2.0,{1}{B},B,"When this creature enters, Phyrexians you control gain menace until end of turn.
Other Phyrexians you control get +1/+1.
{3}{B}, Sacrifice an artifact or creature: Return this card from your graveyard to the battlefield. Activate only as a sorcery.",1,True
Ichor Drinker,Creature — Phyrexian Vampire,1.0,1.0,{B},B,"Lifelink
{B}, Exile this card from your graveyard: Incubate 2. Activate only as a sorcery. (Create an Incubator token with two +1/+1 counters on it and ""{2}: Transform this token."" It transforms into a 0/0 Phyrexian artifact creature.)",2,True
Mirrodin Avenged,Instant,,,{B},B,"Destroy target creature that was dealt damage this turn.
Draw a card.",1,True
Phyrexian Gargantua,Creature — Phyrexian Horror,4.0,4.0,{4}{B}{B},B,"When this creature enters, you draw two cards and you lose 2 life.",2,True
Pile On,Instant,,,{3}{B},B,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Destroy target creature or planeswalker. Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",1,True
Unseal the Necropolis,Instant,,,{2}{B},B,"Each player mills three cards. Then you return up to two creature cards from your graveyard to your hand. (To mill three cards, a player puts the top three cards of their library into their graveyard.)",2,True
Vanquish the Weak,Instant,,,{2}{B},B,Destroy target creature with power 3 or less.,3,True
Cosmic Hunger,Instant,,,{1}{G},G,"Target creature you control deals damage equal to its power to another target creature, planeswalker, or battle.",4,True
Fertilid's Favor,Instant,,,{3}{G},G,"Target player searches their library for a basic land card, puts it onto the battlefield tapped, then shuffles. Put two +1/+1 counters on up to one target artifact or creature.",2,True
Kami of Whispered Hopes,Creature — Spirit,1.0,1.0,{2}{G},G,"If one or more +1/+1 counters would be put on a permanent you control, that many plus one +1/+1 counters are put on that permanent instead.
{T}: Add X mana of any one color, where X is this creature's power.",3,True
"Ozolith, the Shattered Spire",Legendary Artifact,,,{1}{G},G,"If one or more +1/+1 counters would be put on an artifact or creature you control, that many plus one +1/+1 counters are put on it instead.
{1}{G}, {T}: Put a +1/+1 counter on target artifact or creature you control. Activate only as a sorcery.
Cycling {2} ({2}, Discard this card: Draw a card.)",2,True
Ravenous Sailback,Creature — Dinosaur,3.0,4.0,{4}{G},G,"When this creature enters, choose one —
• This creature gains haste until end of turn.
• Destroy target artifact or enchantment.",2,True
Serpent-Blade Assailant,Creature — Elf Warrior,2.0,1.0,{2}{G},G,"Backup 1 (When this creature enters, put a +1/+1 counter on target creature. If that's another creature, it gains the following ability until end of turn.)
Deathtouch",1,True
Storm the Seedcore,Sorcery,,,{2}{G}{G},G,Distribute four +1/+1 counters among up to four target creatures you control. Creatures you control gain vigilance and trample until end of turn.,2,True
Tribute to the World Tree,Enchantment,,,{G}{G}{G},G,"Whenever a creature you control enters, draw a card if its power is 3 or greater. Otherwise, put two +1/+1 counters on it.",1,True
Wary Thespian,Creature — Cat Druid,3.0,1.0,{1}{G},G,"When this creature enters or dies, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",7,True
Ayara's Oathsworn,Creature — Human Knight,2.0,2.0,{1}{B},B,"Menace
Whenever this creature deals combat damage to a player, if it has fewer than four +1/+1 counters on it, put a +1/+1 counter on it. Then if it has exactly four +1/+1 counters on it, search your library for a card, put it into your hand, then shuffle.",1,True
Markov Baron,Creature — Vampire Noble,2.0,2.0,{2}{B},B,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Lifelink
Other Vampires you control get +1/+1.
Madness {2}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",1,True
"Nissa, Resurgent Animist",Legendary Creature — Elf Scout,3.0,3.0,{2}{G},G,"Landfall — Whenever a land you control enters, add one mana of any color. Then if this is the second time this ability has resolved this turn, reveal cards from the top of your library until you reveal an Elf or Elemental card. Put that card into your hand and the rest on the bottom of your library in a random order.",1,True
Terror of Towashi,Creature — Phyrexian Ogre,4.0,3.0,{2}{B}{B},B,"Deathtouch
Whenever this creature attacks, you may pay {3}{B}. When you do, return target creature card from your graveyard to the battlefield. It's a Phyrexian in addition to its other types.",1,True
Fairgrounds Trumpeter,Creature — Elephant,2.0,2.0,{2}{G},G,"At the beginning of each end step, if a +1/+1 counter was put on a permanent under your control this turn, put a +1/+1 counter on this creature.",3,True
Ruins Recluse,Creature — Spider,1.0,1.0,{1}{G},G,"Reach, deathtouch
{3}{G}: Put a +1/+1 counter on this creature.",2,True
Surrak and Goreclaw,Legendary Creature — Human Bear,6.0,5.0,{4}{G}{G},G,"Trample
Other creatures you control have trample.
Whenever another nontoken creature you control enters, put a +1/+1 counter on it. It gains haste until end of turn.",1,True
Crow of Dark Tidings,Creature — Zombie Bird,2.0,1.0,{2}{B},B,"Flying
When this creature enters or dies, mill two cards. (Put the top two cards of your library into your graveyard.)",4,True
