name,rarity,color_identity,owned_qty,text,mana_cost
Wall of Runes,common,['U'],2,"Defender (This creature can't attack.)
When this creature enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.)",{U}
Warden of Evos Isle,uncommon,['U'],3,"Flying
Creature spells with flying you cast cost {1} less to cast.",{2}{U}
Waterkin Shaman,common,['U'],3,"Whenever a creature you control with flying enters, this creature gets +1/+1 until end of turn.",{1}{U}
Waterknot,common,['U'],3,"Enchant creature
When this Aura enters, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.",{1}{U}{U}
Windreader Sphinx,rare,['U'],1,"Flying
Whenever a creature with flying attacks, you may draw a card.",{5}{U}{U}
Windstorm Drake,uncommon,['U'],2,"Flying
Other creatures you control with flying get +1/+0.",{4}{U}
Winged Words,common,['U'],2,"This spell costs {1} less to cast if you control a creature with flying.
Draw two cards.",{2}{U}
Zephyr Gull,common,['U'],4,Flying,{U}
Bad Deal,uncommon,['B'],1,You draw two cards and each opponent discards two cards. Each player loses 2 life.,{4}{B}{B}
Compound Fracture,common,['B'],4,Target creature gets -1/-1 until end of turn. It gets an additional -1/-1 until end of turn for each card named Compound Fracture in your graveyard.,{B}
Cruel Cut,common,['B'],1,Destroy target creature with power 2 or less.,{1}{B}
Demon of Loathing,rare,['B'],2,"Flying, trample
Whenever this creature deals combat damage to a player, that player sacrifices a creature of their choice.",{5}{B}{B}
Eternal Thirst,common,['B'],1,"Enchant creature
Enchanted creature has lifelink and ""Whenever a creature an opponent controls dies, put a +1/+1 counter on this creature."" (Damage dealt by a creature with lifelink also causes its controller to gain that much life.)",{1}{B}
Krovikan Scoundrel,common,['B'],2,,{1}{B}
Malakir Cullblade,uncommon,['B'],3,"Whenever a creature an opponent controls dies, put a +1/+1 counter on this creature.",{1}{B}
Mardu Outrider,rare,['B'],2,"As an additional cost to cast this spell, discard a card.",{1}{B}{B}
Murder,common,['B'],2,Destroy target creature.,{1}{B}{B}
Sanitarium Skeleton,common,['B'],3,{2}{B}: Return this card from your graveyard to your hand.,{B}
Savage Gorger,common,['B'],3,"Flying
At the beginning of your end step, if an opponent lost life this turn, put a +1/+1 counter on this creature. (Damage causes loss of life.)",{1}{B}{B}
Sengir Vampire,uncommon,['B'],3,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Whenever a creature dealt damage by this creature this turn dies, put a +1/+1 counter on this creature.",{3}{B}{B}
Soulhunter Rakshasa,rare,['B'],1,"This creature can't block.
When this creature enters, if you cast it from your hand, it deals 1 damage to target opponent for each Swamp you control.",{3}{B}{B}
Typhoid Rats,common,['B'],2,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.),{B}
Unlikely Aid,common,['B'],3,"Target creature gets +2/+0 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",{1}{B}
Vampire Opportunist,common,['B'],2,{6}{B}: Each opponent loses 2 life and you gain 2 life.,{1}{B}
Burn Bright,common,['R'],2,Creatures you control get +2/+0 until end of turn.,{2}{R}
Goblin Gang Leader,uncommon,['R'],2,"When this creature enters, create two 1/1 red Goblin creature tokens.",{2}{R}{R}
Goblin Gathering,common,['R'],4,Create a number of 1/1 red Goblin creature tokens equal to two plus the number of cards named Goblin Gathering in your graveyard.,{2}{R}
Goblin Trashmaster,rare,['R'],1,"Other Goblins you control get +1/+1.
Sacrifice a Goblin: Destroy target artifact.",{2}{R}{R}
Goblin Tunneler,common,['R'],2,{T}: Target creature with power 2 or less can't be blocked this turn.,{1}{R}
Immortal Phoenix,rare,['R'],1,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When this creature dies, return it to its owner's hand.",{4}{R}{R}
Inescapable Blaze,uncommon,['R'],2,"This spell can't be countered.
Inescapable Blaze deals 6 damage to any target.",{4}{R}{R}
Molten Ravager,common,['R'],2,{R}: This creature gets +1/+0 until end of turn.,{2}{R}
Nest Robber,common,['R'],4,Haste,{1}{R}
Ogre Battledriver,rare,['R'],2,"Whenever another creature you control enters, that creature gets +2/+0 and gains haste until end of turn. (It can attack and {T} this turn.)",{2}{R}{R}
Raging Goblin,common,['R'],2,Haste (This creature can attack and {T} as soon as it comes under your control.),{R}
Raid Bombardment,uncommon,['R'],2,"Whenever a creature you control with power 2 or less attacks, this enchantment deals 1 damage to the player or planeswalker that creature is attacking.",{2}{R}
Reduce to Ashes,common,['R'],3,"Reduce to Ashes deals 5 damage to target creature. If that creature would die this turn, exile it instead.",{4}{R}
Shock,common,['R'],2,Shock deals 2 damage to any target.,{R}
Siege Dragon,rare,['R'],2,"Flying
When this creature enters, destroy all Walls your opponents control.
Whenever this creature attacks, if defending player controls no Walls, it deals 2 damage to each creature without flying that player controls.",{5}{R}{R}
Storm Strike,common,['R'],2,Target creature gets +1/+0 and gains first strike until end of turn. Scry 1.,{R}
Tin Street Cadet,common,['R'],3,"Whenever this creature becomes blocked, create a 1/1 red Goblin creature token.",{R}
Volcanic Dragon,uncommon,['R'],2,"Flying, haste",{4}{R}{R}
Burrog Befuddler,common,['U'],3,"Flash (You may cast this spell any time you could cast an instant.)
When this creature enters, target creature an opponent controls gets -1/-0 until end of turn.",{1}{U}
Teach by Example,uncommon,"['R', 'U']",1,"({U/R} can be paid with either {U} or {R}.)
When you next cast an instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy.",{U/R}{U/R}
Vampire Spawn,common,['B'],3,"When this creature enters, each opponent loses 2 life and you gain 2 life.",{2}{B}
Negate,common,['U'],1,Counter target noncreature spell.,{1}{U}
Duress,common,['B'],4,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.",{B}
Eaten Alive,common,['B'],4,"As an additional cost to cast this spell, sacrifice a creature or pay {3}{B}.
Exile target creature or planeswalker.",{B}
Hero's Downfall,uncommon,['B'],3,Destroy target creature or planeswalker.,{1}{B}{B}
Abrade,uncommon,['R'],3,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",{1}{R}
Spell Pierce,uncommon,['U'],1,Counter target noncreature spell unless its controller pays {2}.,{U}
Disdainful Stroke,rare,['U'],2,Counter target spell with mana value 4 or greater.,{1}{U}
Fake Your Own Death,common,['B'],2,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control and you create a Treasure token."" (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",{1}{B}
Shore Up,common,['U'],2,Target creature you control gets +1/+1 and gains hexproof until end of turn. Untap it. (It can't be the target of spells or abilities your opponents control.),{U}
Tolarian Terror,common,['U'],4,"This spell costs {1} less to cast for each instant and sorcery card in your graveyard.
Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)",{6}{U}
Lightning Strike,common,['R'],2,Lightning Strike deals 3 damage to any target.,{1}{R}
Thrill of Possibility,common,['R'],4,"As an additional cost to cast this spell, discard a card.
Draw two cards.",{1}{R}
"Balmor, Battlemage Captain",uncommon,"['R', 'U']",4,"Flying
Whenever you cast an instant or sorcery spell, creatures you control get +1/+0 and gain trample until end of turn.",{U}{R}
Phyrexian Arena,rare,['B'],1,"At the beginning of your upkeep, you draw a card and you lose 1 life.",{1}{B}{B}
Corrupted Conviction,common,['B'],3,"As an additional cost to cast this spell, sacrifice a creature.
Draw two cards.",{B}
Crow of Dark Tidings,common,['B'],3,"Flying
When this creature enters or dies, mill two cards. (Put the top two cards of your library into your graveyard.)",{2}{B}
Bitter Chill,uncommon,['U'],2,"Enchant creature
When this Aura enters, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.
When this Aura is put into a graveyard from the battlefield, you may pay {1}. If you do, scry 1, then draw a card.",{1}{U}
Freeze in Place,common,['U'],2,"Tap target creature an opponent controls and put three stun counters on it. Scry 2. (If a permanent with a stun counter would become untapped, remove one from it instead.)",{1}{U}
Ice Out,common,['U'],3,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
This spell costs {1} less to cast if it's bargained.
Counter target spell.",{1}{U}{U}
Merfolk Coralsmith,common,['U'],1,"{1}: This creature gets +1/-1 until end of turn.
When this creature dies, scry 2.",{2}{U}
Mocking Sprite,common,['U'],2,"Flying
Instant and sorcery spells you cast cost {1} less to cast.",{2}{U}
Quick Study,common,['U'],2,Draw two cards.,{2}{U}
Sleep-Cursed Faerie,rare,['U'],1,"Flying, ward {2}
This creature enters tapped with three stun counters on it. (If it would become untapped, remove a stun counter from it instead.)
{1}{U}: Untap this creature.",{U}
Sleight of Hand,rare,['U'],3,Look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.,{U}
Snaremaster Sprite,common,['U'],2,"Flying
When this creature enters, you may pay {2}. When you do, tap target creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",{U}
Spell Stutter,common,['U'],2,Counter target spell unless its controller pays {2} plus an additional {1} for each Faerie you control.,{1}{U}
Stormkeld Prowler,common,['U'],1,"Whenever you cast a spell with mana value 5 or greater, put two +1/+1 counters on this creature.",{1}{U}
Talion's Messenger,rare,['U'],1,"Flying
Whenever you attack with one or more Faeries, draw a card, then discard a card. When you discard a card this way, put a +1/+1 counter on target Faerie you control.",{2}{U}
Tenacious Tomeseeker,uncommon,['U'],1,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
When this creature enters, if it was bargained, return target instant or sorcery card from your graveyard to your hand.",{2}{U}
"Ashiok, Wicked Manipulator",mythic,['B'],1,"If you would pay life while your library has at least that many cards in it, exile that many cards from the top of your library instead.
[+1]: Look at the top two cards of your library. Exile one of them and put the other into your hand.
[−2]: Create two 1/1 black Nightmare creature tokens with ""At the beginning of combat on your turn, if a card was put into exile this turn, put a +1/+1 counter on this token.""
[−7]: Target player exiles the top X cards of their library, where X is the total mana value of cards you own in exile.",{3}{B}{B}
Barrow Naughty,common,['B'],2,"Flying
This creature has lifelink as long as you control another Faerie.
{2}{B}: This creature gets +1/+0 until end of turn.",{1}{B}
Eriette's Whisper,common,['B'],1,"Target opponent discards two cards. Create a Wicked Role token attached to up to one target creature you control. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1. When this token is put into a graveyard, each opponent loses 1 life.)",{3}{B}
Faerie Dreamthief,uncommon,['B'],1,"Flying
When this creature enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
{2}{B}, Exile this card from your graveyard: You draw a card and you lose 1 life.",{B}
Faerie Fencing,uncommon,['B'],4,Target creature gets -X/-X until end of turn. That creature gets an additional -3/-3 until end of turn if you controlled a Faerie as you cast this spell.,{X}{B}
Feed the Cauldron,common,['B'],3,"Destroy target creature with mana value 3 or less. If it's your turn, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",{2}{B}
Lich-Knights' Conquest,rare,['B'],1,"Sacrifice any number of artifacts, enchantments, and/or tokens. Return that many creature cards from your graveyard to the battlefield.",{4}{B}
Mintstrosity,common,['B'],3,"When this creature dies, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",{1}{B}
Rankle's Prank,rare,['B'],1,"Choose one or more —
• Each player discards two cards.
• Each player loses 4 life.
• Each player sacrifices two creatures of their choice.",{2}{B}{B}
Rat Out,common,['B'],1,"Up to one target creature gets -1/-1 until end of turn. You create a 1/1 black Rat creature token with ""This token can't block.""",{B}
Scream Puff,common,['B'],2,"Deathtouch
Whenever this creature deals combat damage to a player, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",{4}{B}
Sugar Rush,common,['B'],2,"Target creature gets +3/+0 until end of turn.
Draw a card.",{1}{B}
Sweettooth Witch,common,['B'],3,"When this creature enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
{2}, Sacrifice a Food: Target player loses 2 life.",{2}{B}
Taken by Nightmares,uncommon,['B'],2,"Exile target creature. If you control an enchantment, scry 2.",{2}{B}{B}
Twisted Sewer-Witch,uncommon,['B'],1,"When this creature enters, create a 1/1 black Rat creature token with ""This creature can't block."" Then for each Rat you control, create a Wicked Role token attached to that Rat. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1. When this token is put into a graveyard, each opponent loses 1 life.)",{3}{B}{B}
Wicked Visitor,common,['B'],1,"Whenever an enchantment you control is put into a graveyard from the battlefield, each opponent loses 1 life.",{1}{B}
Boundary Lands Ranger,common,['R'],1,"At the beginning of combat on your turn, if you control a creature with power 4 or greater, you may discard a card. If you do, draw a card.",{1}{R}
Charming Scoundrel,rare,['R'],1,"Haste
When this creature enters, choose one —
• Discard a card, then draw a card.
• Create a Treasure token.
• Create a Wicked Role token attached to target creature you control.",{1}{R}
Flick a Coin,common,['R'],2,"Flick a Coin deals 1 damage to any target. You create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")
Draw a card.",{2}{R}
Frantic Firebolt,common,['R'],1,"Frantic Firebolt deals X damage to target creature, where X is 2 plus the number of cards in your graveyard that are instant cards, sorcery cards, and/or have an Adventure.",{2}{R}
"Goddric, Cloaked Reveler",rare,['R'],1,"Haste
Celebration — As long as two or more nonland permanents entered the battlefield under your control this turn, Goddric is a Dragon with base power and toughness 4/4, flying, and ""{R}: Dragons you control get +1/+0 until end of turn."" (It loses all other creature types.)",{1}{R}{R}
Harried Spearguard,common,['R'],1,"Haste
When this creature dies, create a 1/1 black Rat creature token with ""This token can't block.""",{R}
Kindled Heroism,common,['R'],1,Target creature gets +1/+0 and gains first strike until end of turn. Scry 1.,{R}
Stonesplitter Bolt,uncommon,['R'],1,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
Stonesplitter Bolt deals X damage to target creature or planeswalker. If this spell was bargained, it deals twice X damage to that permanent instead.",{X}{R}
"Johann, Apprentice Sorcerer",uncommon,"['R', 'U']",3,"You may look at the top card of your library any time.
Once each turn, you may cast an instant or sorcery spell from the top of your library. (You still pay its costs. Timing rules still apply.)",{2}{U}{R}
"Obyra, Dreaming Duelist",uncommon,"['B', 'U']",2,"Flash
Flying
Whenever another Faerie you control enters, each opponent loses 1 life.",{U}{B}
"Talion, the Kindly Lord",mythic,"['B', 'U']",1,"Flying
As Talion enters, choose a number between 1 and 10.
Whenever an opponent casts a spell with mana value, power, or toughness equal to the chosen number, that player loses 2 life and you draw a card.",{2}{U}{B}
"Totentanz, Swarm Piper",uncommon,"['B', 'R']",1,"Whenever Totentanz or another nontoken creature you control dies, create a 1/1 black Rat creature token with ""This token can't block.""
{1}{B}: Target attacking Rat you control gains deathtouch until end of turn.",{1}{B}{R}
Faerie Slumber Party,rare,['U'],1,"Return all creatures to their owners' hands. For each opponent who controlled a creature returned this way, you create two 1/1 blue Faerie creature tokens with flying and ""This token can block only creatures with flying.""",{4}{U}{U}
Experimental Confectioner,uncommon,['B'],2,"When this creature enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
Whenever you sacrifice a Food, create a 1/1 black Rat creature token with ""This token can't block.""",{2}{B}
Impact Tremors,common,['R'],1,"Whenever a creature you control enters, this enchantment deals 1 damage to each opponent.",{1}{R}
Out of Air,common,['U'],1,"This spell costs {2} less to cast if it targets a creature spell.
Counter target spell.",{2}{U}{U}
River Herald Scout,common,['U'],2,"When this creature enters, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",{1}{U}
Shipwreck Sentry,common,['U'],1,"Defender
As long as an artifact entered the battlefield under your control this turn, this creature can attack as though it didn't have defender.",{1}{U}
Song of Stupefaction,common,['U'],1,"Enchant creature or Vehicle
When this Aura enters, you may mill two cards. (You may put the top two cards of your library into your graveyard.)
Fathomless descent — Enchanted permanent gets -X/-0, where X is the number of permanent cards in your graveyard.",{1}{U}
Spyglass Siren,uncommon,['U'],1,"Flying
When this creature enters, create a Map token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery."")",{U}
Waterwind Scout,common,['U'],4,"Flying
When this creature enters, create a Map token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery."")",{2}{U}
Another Chance,common,['B'],4,"You may mill two cards. Then return up to two creature cards from your graveyard to your hand. (To mill two cards, put the top two cards of your library into your graveyard.)",{2}{B}
Broodrage Mycoid,common,['B'],1,"At the beginning of your end step, if you descended this turn, create a 1/1 black Fungus creature token with ""This token can't block."" (You descended if a permanent card was put into your graveyard from anywhere.)",{3}{B}
Chupacabra Echo,uncommon,['B'],1,"Fathomless descent — When this creature enters, target creature an opponent controls gets -X/-X until end of turn, where X is the number of permanent cards in your graveyard.",{2}{B}{B}
Deep Goblin Skulltaker,common,['B'],1,"Menace
At the beginning of your end step, if you descended this turn, put a +1/+1 counter on this creature. (You descended if a permanent card was put into your graveyard from anywhere.)",{2}{B}
Deep-Cavern Bat,uncommon,['B'],2,"Flying, lifelink
When this creature enters, look at target opponent's hand. You may exile a nonland card from it until this creature leaves the battlefield.",{1}{B}
Fanatical Offering,common,['B'],1,"As an additional cost to cast this spell, sacrifice an artifact or creature.
Draw two cards and create a Map token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery."")",{1}{B}
Greedy Freebooter,common,['B'],2,"When this creature dies, scry 1 and create a Treasure token. (To scry 1, look at the top card of your library. You may put that card on the bottom. A Treasure token is an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",{B}
Join the Dead,common,['B'],1,"Target creature gets -5/-5 until end of turn.
Descend 4 — That creature gets -10/-10 until end of turn instead if there are four or more permanent cards in your graveyard.",{1}{B}{B}
Malicious Eclipse,uncommon,['B'],2,"All creatures get -2/-2 until end of turn. If a creature an opponent controls would die this turn, exile it instead.",{1}{B}{B}
Mephitic Draught,common,['B'],1,"When this artifact enters or is put into a graveyard from the battlefield, you draw a card and you lose 1 life.",{1}{B}
Ray of Ruin,common,['B'],1,"Exile target creature, Vehicle, or nonbasic land. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)",{4}{B}
Screaming Phantom,common,['B'],2,"Flying
Whenever this creature attacks, mill a card. (Put the top card of your library into your graveyard.)",{2}{B}
Skullcap Snail,common,['B'],2,"When this creature enters, target opponent exiles a card from their hand.",{1}{B}
Starving Revenant,rare,['B'],4,"When this creature enters, surveil 2. Then for each card you put on top of your library, you draw a card and you lose 3 life.
Descend 8 — Whenever you draw a card, if there are eight or more permanent cards in your graveyard, target opponent loses 1 life and you gain 1 life.",{2}{B}{B}
Terror Tide,rare,['B'],1,"Fathomless descent — All creatures get -X/-X until end of turn, where X is the number of permanent cards in your graveyard.",{2}{B}{B}
Ancestors' Aid,common,['R'],1,"Target creature gets +2/+0 and gains first strike until end of turn.
Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",{1}{R}
Bonehoard Dracosaur,mythic,['R'],1,"Flying, first strike
At the beginning of your upkeep, exile the top two cards of your library. You may play them this turn. If you exiled a land card this way, create a 3/1 red Dinosaur creature token. If you exiled a nonland card this way, create a Treasure token.",{3}{R}{R}
Brazen Blademaster,common,['R'],2,"Whenever this creature attacks while you control two or more artifacts, it gets +2/+1 until end of turn.",{2}{R}
Burning Sun Cavalry,common,['R'],3,"Whenever this creature attacks or blocks while you control a Dinosaur, this creature gets +1/+1 until end of turn.",{1}{R}
Calamitous Cave-In,uncommon,['R'],1,"Calamitous Cave-In deals X damage to each creature and each planeswalker, where X is the number of Caves you control plus the number of Cave cards in your graveyard.",{3}{R}
Curator of Sun's Creation,uncommon,['R'],2,"Whenever you discover, discover again for the same value. This ability triggers only once each turn.",{3}{R}
Daring Discovery,common,['R'],2,"Up to three target creatures can't block this turn.
Discover 4. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",{4}{R}
Dinotomaton,common,['R'],3,"Menace (This creature can't be blocked except by two or more creatures.)
When this creature enters, target creature you control gains menace until end of turn.",{3}{R}
Etali's Favor,common,['R'],3,"Enchant creature you control
When this Aura enters, discover 3. (Exile cards from the top of your library until you exile a nonland card with mana value 3 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)
Enchanted creature gets +1/+1 and has trample.",{2}{R}
Hit the Mother Lode,rare,['R'],1,"Discover 10. If the discovered card's mana value is less than 10, create a number of tapped Treasure tokens equal to the difference. (To discover 10, exile cards from the top of your library until you exile a nonland card with mana value 10 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",{4}{R}{R}{R}
Panicked Altisaur,common,['R'],2,"Reach
{T}: This creature deals 2 damage to each opponent.",{4}{R}
Plundering Pirate,common,['R'],2,"When this creature enters, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",{2}{R}
Rampaging Ceratops,uncommon,['R'],2,This creature can't be blocked except by three or more creatures.,{4}{R}
Rumbling Rockslide,common,['R'],2,Rumbling Rockslide deals damage to target creature equal to the number of lands you control.,{3}{R}
Trumpeting Carnosaur,rare,['R'],1,"Trample
When this creature enters, discover 5.
{2}{R}, Discard this card: It deals 3 damage to target creature or planeswalker.",{4}{R}{R}
"Saheeli, the Sun's Brilliance",mythic,"['R', 'U']",1,"{U}{R}, {T}: Create a token that's a copy of another target creature or artifact you control, except it's an artifact in addition to its other types. It gains haste. Sacrifice it at the beginning of the next end step.",{U}{R}
Hidden Volcano,common,['R'],2,"This land enters tapped.
{T}: Add {R}.
{4}{R}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",
Agency Outfitter,uncommon,['U'],1,"Flying
When this creature enters, you may search your graveyard, hand and/or library for a card named Magnifying Glass and/or a card named Thinking Cap and put them onto the battlefield. If you search your library this way, shuffle.",{4}{U}{U}
Behind the Mask,common,['U'],2,"As an additional cost to cast this spell, you may collect evidence 6. (Exile cards with total mana value 6 or greater from your graveyard.)
Until end of turn, target artifact or creature becomes an artifact creature with base power and toughness 4/3. If evidence was collected, it has base power and toughness 1/1 until end of turn instead.",{U}
Benthic Criminologists,common,['U'],1,"Whenever this creature enters or attacks, you may sacrifice an artifact. If you do, draw a card.",{4}{U}
Cold Case Cracker,common,['U'],4,"Flying
When this creature dies, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",{3}{U}
Curious Inquiry,uncommon,['U'],1,"Enchant creature
Enchanted creature gets +1/+1 and has ""Whenever this creature deals combat damage to a player, investigate."" (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",{U}
Deduce,common,['U'],2,"Draw a card. Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",{1}{U}
Dramatic Accusation,common,['U'],1,"Enchant creature
When this Aura enters, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.
{U}{U}: Shuffle enchanted creature into its owner's library.",{2}{U}
Forensic Gadgeteer,rare,['U'],2,"Whenever you cast an artifact spell, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Activated abilities of artifacts you control cost {1} less to activate. This effect can't reduce the mana in that cost to less than one mana.",{2}{U}
Furtive Courier,uncommon,['U'],1,"This creature can't be blocked as long as you've sacrificed an artifact this turn.
Whenever this creature attacks, draw a card, then discard a card.",{2}{U}
Hotshot Investigators,common,['U'],3,"When this creature enters, return up to one other target creature to its owner's hand. If you controlled it, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",{5}{U}
Jaded Analyst,common,['U'],4,"Defender
Whenever you draw your second card each turn, this creature loses defender and gains vigilance until end of turn.",{1}{U}
Proft's Eidetic Memory,rare,['U'],2,"When Proft's Eidetic Memory enters, draw a card.
You have no maximum hand size.
At the beginning of combat on your turn, if you've drawn more than one card this turn, put X +1/+1 counters on target creature you control, where X is the number of cards you've drawn this turn minus one.",{1}{U}
Projektor Inspector,common,['U'],2,"Whenever this creature or another Detective you control enters and whenever a Detective you control is turned face up, you may draw a card. If you do, discard a card.",{2}{U}
Steamcore Scholar,rare,['U'],1,"Flying, vigilance
When this creature enters, draw two cards. Then discard two cards unless you discard an instant or sorcery card or a creature card with flying.",{2}{U}
Cerebral Confiscation,common,['B'],2,"Choose one —
• Target opponent discards two cards.
• Target opponent reveals their hand. You choose a nonland card from it. That player discards that card.",{2}{B}
Festerleech,uncommon,['B'],1,"Whenever this creature deals combat damage to a player, you mill two cards.
{1}{B}: This creature gets +2/+2 until end of turn. Activate only once each turn.",{B}
It Doesn't Add Up,uncommon,['B'],1,Return target creature card from your graveyard to the battlefield. Suspect it. (It has menace and can't block.),{3}{B}{B}
Macabre Reconstruction,common,['B'],1,"This spell costs {2} less to cast if a creature card was put into your graveyard from anywhere this turn.
Return up to two target creature cards from your graveyard to your hand.",{3}{B}
"Massacre Girl, Known Killer",mythic,['B'],1,"Menace
Creatures you control have wither. (They deal damage to creatures in the form of -1/-1 counters.)
Whenever a creature an opponent controls dies, if its toughness was less than 1, draw a card.",{2}{B}{B}
