Name,Colors,Set,Rarity,Type,Owned Qty
Cloudblazer,"U,W",,uncommon,Creature — Human Scout,2
Prophetic Prism,,,common,Artifact,1
Self-Assembler,,,common,Artifact Creature — Assembly-Worker,1
Swiftfoot Boots,,,uncommon,Artifact — Equipment,1
Negate,U,,common,Instant,1
Druid of the Cowl,G,,common,Creature — Elf Druid,4
Heroic Intervention,G,,rare,Instant,1
Belt of Giant Strength,G,,rare,Artifact — Equipment,1
Angel of Finality,W,,rare,Creature — Angel,2
Imprisoned in the Moon,U,,rare,Enchantment — Aura,2
Reassembling Skeleton,B,,uncommon,Creature — Skeleton Warrior,4
Victimize,B,,uncommon,Sorcery,1
"Etali, Primal Storm",R,,rare,Legendary Creature — Elder Dinosaur,1
Colossal Majesty,G,,uncommon,Enchantment,2
Garruk's Uprising,G,,uncommon,Enchantment,2
Kenrith's Transformation,G,,uncommon,Enchantment — Aura,1
Return of the Wildspeaker,G,,rare,Instant,1
Return to Nature,G,,common,Instant,1
Burnished Hart,,,uncommon,Artifact Creature — Elk,2
Lumbering Falls,"G,U",,rare,Land,1
The Book of Exalted Deeds,W,,mythic,Legendary Artifact,1
Cleric Class,W,,uncommon,Enchantment — Class,1
Dawnbringer Cleric,W,,common,Creature — Human Cleric,1
A-Dawnbringer Cleric,W,,common,Creature — Human Cleric,1
Paladin Class,W,,rare,Enchantment — Class,1
Potion of Healing,W,,common,Artifact,1
Steadfast Paladin,W,,common,Creature — Dwarf Knight,1
You're Ambushed on the Road,W,,common,Instant,1
Charmed Sleep,U,,common,Enchantment — Aura,2
Mind Flayer,U,,rare,Creature — Horror,1
Secret Door,U,,common,Artifact Creature — Wall,1
Shocking Grasp,U,,common,Instant,1
Silver Raven,U,,common,Artifact Creature — Bird,1
Soulknife Spy,U,,common,Creature — Elf Rogue,1
Sudden Insight,U,,uncommon,Instant,1
Asmodeus the Archfiend,B,,rare,Legendary Creature — Devil God,1
Black Dragon,B,,uncommon,Creature — Dragon,3
Deadly Dispute,B,,common,Instant,1
Herald of Hadar,B,,common,Creature — Human Warlock,1
Skullport Merchant,B,,uncommon,Creature — Dwarf Citizen,1
Vampire Spawn,B,,common,Creature — Vampire,3
Dueling Rapier,R,,common,Artifact — Equipment,2
Flameskull,R,,mythic,Creature — Skeleton,1
Goblin Javelineer,R,,common,Creature — Goblin Warrior,1
Hoarding Ogre,R,,common,Creature — Ogre,1
Red Dragon,R,,uncommon,Creature — Dragon,4
Unexpected Windfall,R,,common,Instant,1
Valor Singer,R,,common,Creature — Tiefling Bard,2
Choose Your Weapon,G,,uncommon,Instant,1
Circle of the Moon Druid,G,,common,Creature — Human Elf Druid,1
Gnoll Hunter,G,,common,Creature — Gnoll,2
Inspiring Bard,G,,common,Creature — Elf Bard,1
Wild Shape,G,,uncommon,Instant,1
Greataxe,,,common,Artifact — Equipment,1
Iron Golem,,,uncommon,Artifact Creature — Golem,1
Banishing Light,W,,uncommon,Enchantment,2
Goblin Oriflamme,R,,uncommon,Enchantment,1
Scorching Dragonfire,R,,common,Instant,4
Lightning Strike,R,,uncommon,Instant,2
Regal Caracal,W,,rare,Creature — Cat,1
Essence Scatter,U,,common,Instant,2
Slither Blade,U,,common,Creature — Snake Rogue,1
Doomed Dissenter,B,,common,Creature — Human,4
Fling,R,,common,Instant,1
Vizier of the Menagerie,G,,mythic,Creature — Snake Cleric,1
Enigma Drake,"R,U",,uncommon,Creature — Drake,2
Highland Lake,"R,U",,common,Land,1
Woodland Stream,"G,U",,common,Land,1
Crash Through,R,,common,Sorcery,3
Firebrand Archer,R,,common,Creature — Human Archer,4
Life Goes On,G,,common,Instant,2
Bone Splinters,B,,common,Sorcery,1
Death Baron,B,,rare,Creature — Zombie Wizard,1
Dragon Fodder,R,,common,Sorcery,4
Angel of Vitality,W,,uncommon,Creature — Angel,2
Angelic Guardian,W,,rare,Creature — Angel,1
Angelic Reward,W,,uncommon,Enchantment — Aura,1
Bond of Discipline,W,,uncommon,Sorcery,1
Charmed Stray,W,,common,Creature — Cat,4
Confront the Assault,W,,uncommon,Instant,1
Goring Ceratops,W,,rare,Creature — Dinosaur,1
Hallowed Priest,W,,uncommon,Creature — Human Cleric,4
Impassioned Orator,W,,common,Creature — Human Cleric,3
Inspiring Commander,W,,rare,Creature — Human Soldier,2
Knight's Pledge,W,,common,Enchantment — Aura,3
Leonin Warleader,W,,rare,Creature — Cat Soldier,2
Moorland Inquisitor,W,,common,Creature — Human Soldier,2
Sanctuary Cat,W,,common,Creature — Cat,2
Shrine Keeper,W,,common,Creature — Human Cleric,4
Spiritual Guardian,W,,common,Creature — Spirit,1
Tactical Advantage,W,,common,Instant,4
Armored Whirl Turtle,U,,common,Creature — Turtle,3
Cloudkin Seer,U,,common,Creature — Elemental Wizard,3
Frilled Sea Serpent,U,,common,Creature — Serpent,1
Glint,U,,common,Instant,2
Octoprophet,U,,common,Creature — Octopus,2
Overflowing Insight,U,,rare,Sorcery,1
Riddlemaster Sphinx,U,,rare,Creature — Sphinx,2
River's Favor,U,,common,Enchantment — Aura,2
Sleep,U,,uncommon,Sorcery,1
Soulblade Djinn,U,,rare,Creature — Djinn,2
Sworn Guardian,U,,common,Creature — Merfolk Warrior,2
Wall of Runes,U,,common,Creature — Wall,2
Warden of Evos Isle,U,,uncommon,Creature — Bird Wizard,3
Waterkin Shaman,U,,common,Creature — Elemental Shaman,3
Waterknot,U,,common,Enchantment — Aura,3
Windreader Sphinx,U,,rare,Creature — Sphinx,1
Windstorm Drake,U,,uncommon,Creature — Drake,2
Winged Words,U,,common,Sorcery,2
Zephyr Gull,U,,common,Creature — Bird,4
Bad Deal,B,,uncommon,Sorcery,1
Compound Fracture,B,,common,Instant,4
Cruel Cut,B,,common,Instant,1
Demon of Loathing,B,,rare,Creature — Demon,2
Eternal Thirst,B,,uncommon,Enchantment — Aura,1
Krovikan Scoundrel,B,,common,Creature — Human Rogue,2
Malakir Cullblade,B,,uncommon,Creature — Vampire Warrior,3
Mardu Outrider,B,,rare,Creature — Orc Warrior,2
Sanitarium Skeleton,B,,common,Creature — Skeleton,3
Savage Gorger,B,,common,Creature — Vampire,3
Soulhunter Rakshasa,B,,rare,Creature — Demon,1
Typhoid Rats,B,,common,Creature — Rat,2
Unlikely Aid,B,,common,Instant,3
Vampire Opportunist,B,,common,Creature — Vampire,2
Burn Bright,R,,common,Instant,2
Goblin Gang Leader,R,,uncommon,Creature — Goblin Warrior,2
Goblin Gathering,R,,common,Sorcery,4
Goblin Trashmaster,R,,rare,Creature — Goblin Warrior,1
Goblin Tunneler,R,,common,Creature — Goblin Rogue,2
Immortal Phoenix,R,,rare,Creature — Phoenix,1
Inescapable Blaze,R,,uncommon,Instant,2
Molten Ravager,R,,common,Creature — Elemental,2
Nest Robber,R,,common,Creature — Dinosaur,4
Ogre Battledriver,R,,rare,Creature — Ogre Warrior,2
Raid Bombardment,R,,uncommon,Enchantment,2
Reduce to Ashes,R,,common,Sorcery,3
Siege Dragon,R,,rare,Creature — Dragon,2
Storm Strike,R,,common,Instant,2
Tin Street Cadet,R,,common,Creature — Goblin,3
Affectionate Indrik,G,,uncommon,Creature — Beast,2
Baloth Packhunter,G,,common,Creature — Beast,4
Epic Proportions,G,,rare,Enchantment — Aura,1
Feral Roar,G,,common,Sorcery,2
Generous Stray,G,,common,Creature — Cat,3
Gigantosaurus,G,,rare,Creature — Dinosaur,2
Ilysian Caryatid,G,,common,Creature — Plant,4
Jungle Delver,G,,common,Creature — Merfolk Warrior,3
Prized Unicorn,G,,uncommon,Creature — Unicorn,1
Rabid Bite,G,,common,Sorcery,2
Rampaging Brontodon,G,,rare,Creature — Dinosaur,2
Rumbling Baloth,G,,common,Creature — Beast,2
Sentinel Spider,G,,uncommon,Creature — Spider,2
Stony Strength,G,,common,Instant,2
Titanic Growth,G,,common,Instant,3
Treetop Warden,G,,common,Creature — Elf Warrior,4
Wildwood Patrol,G,,common,Creature — Centaur Scout,2
Woodland Mystic,G,,common,Creature — Elf Druid,2
World Shaper,G,,rare,Creature — Merfolk Shaman,1
Fertilid,G,,common,Creature — Elemental,1
Forgotten Ancient,G,,rare,Creature — Elemental,1
Fleeting Distraction,U,,common,Instant,4
Craterhoof Behemoth,G,,mythic,Creature — Beast,3
Timberland Guide,G,,common,Creature — Human Scout,4
Fog Bank,U,,uncommon,Creature — Wall,2
Kitesail Corsair,U,,common,Creature — Human Pirate,2
Wrap in Flames,R,,common,Sorcery,1
Aim High,G,,uncommon,Instant,1
Unflinching Courage,"G,W",,uncommon,Enchantment — Aura,1
Stasis Snare,W,,uncommon,Enchantment,3
Dutiful Return,B,,common,Sorcery,1
Ob Nixilis Reignited,B,,mythic,Legendary Planeswalker — Nixilis,1
Sure Strike,R,,common,Instant,2
Worldwalker Helm,U,,mythic,Artifact,1
Bristlebud Farmer,G,,mythic,Creature — Plant Druid,1
Nexus of Becoming,,,mythic,Artifact,1
Brave-Kin Duo,W,,common,Creature — Rabbit Mouse,1
Brightblade Stoat,W,,uncommon,Creature — Weasel Soldier,1
Builder's Talent,W,,uncommon,Enchantment — Class,2
Caretaker's Talent,W,,rare,Enchantment — Class,1
Carrot Cake,W,,common,Artifact — Food,2
Crumb and Get It,W,,common,Instant,1
Flowerfoot Swordmaster,W,,uncommon,Creature — Mouse Soldier,1
Hop to It,W,,uncommon,Sorcery,2
Intrepid Rabbit,W,,common,Creature — Rabbit Soldier,2
Lifecreed Duo,W,,common,Creature — Bat Bird,2
Mabel's Mettle,W,,uncommon,Instant,1
Mouse Trapper,W,,uncommon,Creature — Mouse Soldier,2
Pileated Provisioner,W,,common,Creature — Bird Scout,4
Rabbit Response,W,,common,Instant,2
Repel Calamity,W,,uncommon,Instant,2
Season of the Burrow,W,,mythic,Sorcery,1
Seasoned Warrenguard,W,,uncommon,Creature — Rabbit Warrior,1
Sonar Strike,W,,common,Instant,1
Star Charter,W,,uncommon,Creature — Bat Cleric,2
Valley Questcaller,W,,rare,Creature — Rabbit Warrior,1
Warren Elder,W,,common,Creature — Rabbit Cleric,3
Wax-Wane Witness,W,,common,Creature — Bat Cleric,1
Whiskervale Forerunner,W,,rare,Creature — Mouse Bard,1
Bellowing Crier,U,,common,Creature — Frog Advisor,3
Calamitous Tide,U,,uncommon,Sorcery,1
Daring Waverider,U,,uncommon,Creature — Otter Wizard,1
Dazzling Denial,U,,common,Instant,2
Eddymurk Crab,U,,uncommon,Creature — Elemental Crab,1
"Eluge, the Shoreless Sea",U,,mythic,Legendary Creature — Elemental Fish,1
Finch Formation,U,,common,Creature — Bird Scout,2
Gossip's Talent,U,,uncommon,Enchantment — Class,1
Lightshell Duo,U,,common,Creature — Rat Otter,2
Long River's Pull,U,,uncommon,Instant,1
Mind Spiral,U,,common,Sorcery,2
Mockingbird,U,,rare,Creature — Bird Bard,1
Nightwhorl Hermit,U,,common,Creature — Rat Rogue,1
Otterball Antics,U,,uncommon,Sorcery,2
Pearl of Wisdom,U,,common,Sorcery,4
Portent of Calamity,U,,rare,Sorcery,1
Run Away Together,U,,common,Instant,4
Shore Up,U,,common,Instant,2
Shoreline Looter,U,,uncommon,Creature — Rat Rogue,4
Skyskipper Duo,U,,common,Creature — Bird Frog,1
Stormchaser's Talent,U,,rare,Enchantment — Class,1
Thought Shucker,U,,common,Creature — Rat Rogue,1
Waterspout Warden,U,,common,Creature — Frog Soldier,3
Agate-Blade Assassin,B,,common,Creature — Lizard Assassin,3
Bandit's Talent,B,,uncommon,Enchantment — Class,1
Bonebind Orator,B,,common,Creature — Squirrel Warlock Bard,1
Daggerfang Duo,B,,common,Creature — Rat Squirrel,3
Early Winter,B,,common,Instant,2
Feed the Cycle,B,,uncommon,Instant,1
Glidedive Duo,B,,common,Creature — Bat Lizard,1
Hazel's Nocturne,B,,uncommon,Instant,1
Iridescent Vinelasher,B,,rare,Creature — Lizard Assassin,1
Nocturnal Hunger,B,,common,Instant,4
Persistent Marshstalker,B,,uncommon,Creature — Rat Berserker,1
Psychic Whorl,B,,common,Sorcery,3
Ravine Raider,B,,common,Creature — Lizard Rogue,1
Ruthless Negotiation,B,,uncommon,Sorcery,1
Savor,B,,common,Instant,3
Scavenger's Talent,B,,rare,Enchantment — Class,2
Starlit Soothsayer,B,,common,Creature — Bat Cleric,1
Starscape Cleric,B,,uncommon,Creature — Bat Cleric,2
Thornplate Intimidator,B,,common,Creature — Rat Rogue,2
Thought-Stalker Warlock,B,,uncommon,Creature — Lizard Warlock,1
Valley Rotcaller,B,,rare,Creature — Squirrel Warlock,1
Alania's Pathmaker,R,,common,Creature — Otter Wizard,4
Blooming Blast,R,,uncommon,Instant,1
Brambleguard Captain,R,,uncommon,Creature — Mouse Soldier,2
Conduct Electricity,R,,common,Instant,2
Coruscation Mage,R,,uncommon,Creature — Otter Wizard,2
Flamecache Gecko,"B,R",,uncommon,Creature — Lizard Warlock,1
Frilled Sparkshooter,R,,common,Creature — Lizard Archer,3
Harnesser of Storms,R,,uncommon,Creature — Otter Wizard,1
Hearthborn Battler,R,,rare,Creature — Lizard Warlock,1
Hoarder's Overflow,R,,uncommon,Enchantment,1
Kindlespark Duo,R,,common,Creature — Lizard Otter,2
Might of the Meek,R,,common,Instant,3
Playful Shove,R,,uncommon,Sorcery,2
Quaketusk Boar,R,,uncommon,Creature — Elemental Boar,3
Rabid Gnaw,R,,uncommon,Instant,3
Raccoon Rallier,R,,common,Creature — Raccoon Bard,1
Reptilian Recruiter,R,,uncommon,Creature — Lizard Warrior,2
Roughshod Duo,R,,common,Creature — Mouse Raccoon,1
Sazacap's Brew,R,,common,Instant,2
Steampath Charger,R,,common,Creature — Lizard Warlock,2
Teapot Slinger,R,,uncommon,Creature — Raccoon Warrior,1
Valley Rally,R,,uncommon,Instant,1
War Squeak,R,,common,Enchantment — Aura,3
Whiskerquill Scribe,R,,common,Creature — Mouse Citizen,2
Wildfire Howl,R,,uncommon,Sorcery,1
Bakersbane Duo,G,,common,Creature — Squirrel Raccoon,3
Bark-Knuckle Boxer,G,,uncommon,Creature — Raccoon Berserker,1
Cache Grab,G,,common,Instant,1
Clifftop Lookout,G,,uncommon,Creature — Frog Scout,2
Druid of the Spade,G,,common,Creature — Rabbit Druid,4
Fecund Greenshell,G,,rare,Creature — Elemental Turtle,1
Heaped Harvest,G,,common,Artifact — Food,1
High Stride,G,,common,Instant,2
Hunter's Talent,G,,uncommon,Enchantment — Class,3
Innkeeper's Talent,G,,rare,Enchantment — Class,2
Pawpatch Recruit,G,,rare,Creature — Rabbit Warrior,3
Peerless Recycling,G,,uncommon,Instant,1
Rust-Shield Rampager,G,,common,Creature — Raccoon Warrior,2
Stickytongue Sentinel,G,,common,Creature — Frog Warrior,1
Stocking the Pantry,G,,uncommon,Enchantment,4
Sunshower Druid,G,,common,Creature — Frog Druid,1
Thornvault Forager,G,,rare,Creature — Squirrel Ranger,1
Three Tree Rootweaver,G,,common,Creature — Mole Druid,1
Three Tree Scribe,G,,uncommon,Creature — Frog Druid,1
Treeguard Duo,G,,common,Creature — Frog Rabbit,4
Treetop Sentries,G,,common,Creature — Squirrel Archer,1
"Alania, Divergent Storm","R,U",,rare,Legendary Creature — Otter Wizard,2
"Baylen, the Haymaker","G,R,W",,rare,Legendary Creature — Rabbit Warrior,1
Burrowguard Mentor,"G,W",,uncommon,Creature — Rabbit Soldier,2
Corpseberry Cultivator,"B,G",,common,Creature — Squirrel Warlock,1
"Finneas, Ace Archer","G,W",,rare,Legendary Creature — Rabbit Archer,3
Head of the Homestead,"G,W",,common,Creature — Rabbit Citizen,1
"Helga, Skittish Seer","G,U,W",,mythic,Legendary Creature — Frog Druid,1
Mind Drill Assailant,"B,U",,common,Creature — Rat Warlock,1
Moonrise Cleric,"B,W",,common,Creature — Bat Cleric,1
Pond Prophet,"G,U",,common,Creature — Frog Advisor,2
"Ral, Crackling Wit","R,U",,mythic,Legendary Planeswalker — Ral,1
Seedglaive Mentor,"R,W",,uncommon,Creature — Mouse Soldier,1
Seedpod Squire,"U,W",,common,Creature — Bird Scout,2
Starseer Mentor,"B,W",,uncommon,Creature — Bat Warlock,2
Stormcatch Mentor,"R,U",,uncommon,Creature — Otter Wizard,3
Tempest Angler,"R,U",,common,Creature — Otter Wizard,1
Veteran Guardmouse,"R,W",,common,Creature — Mouse Soldier,3
Wandertale Mentor,"G,R",,uncommon,Creature — Raccoon Bard,3
"Ygra, Eater of All","B,G",,mythic,Legendary Creature — Elemental Cat,1
"Zoraline, Cosmos Caller","B,W",,rare,Legendary Creature — Bat Cleric,1
Barkform Harvester,,,common,Artifact Creature — Shapeshifter,3
Bumbleflower's Sharepot,,,common,Artifact,2
Fountainport Bell,,,common,Artifact,2
Starforged Sword,,,uncommon,Artifact — Equipment,1
Tangle Tumbler,,,uncommon,Artifact — Vehicle,1
Three Tree Mascot,,,common,Artifact Creature — Shapeshifter,1
Fountainport,,,rare,Land,2
Hidden Grotto,,,common,Land,1
Lupinflower Village,W,,uncommon,Land,1
Mudflat Village,B,,uncommon,Land,2
Uncharted Haven,,,common,Land,3
"Bria, Riptide Rogue","R,U",,mythic,Legendary Creature — Otter Rogue,1
"Byrke, Long Ear of the Law","G,W",,mythic,Legendary Creature — Rabbit Soldier,1
Serra Redeemer,W,,rare,Creature — Angel Soldier,1
Mind Spring,U,,rare,Sorcery,1
Thieving Otter,U,,common,Creature — Otter,3
Flame Lash,R,,common,Instant,3
Colossification,G,,rare,Enchantment — Aura,1
Sword of Vengeance,,,rare,Artifact — Equipment,1
Blossoming Sands,"G,W",,common,Land,4
Chart a Course,U,,uncommon,Sorcery,3
Inspiring Overseer,W,,common,Creature — Angel Cleric,4
Spirited Companion,W,,common,Enchantment Creature — Dog,4
Triskaidekaphile,U,,rare,Creature — Human Wizard,2
Bastion of Remembrance,B,,uncommon,Enchantment,1
Morbid Opportunist,B,,uncommon,Creature — Human Rogue,4
Big Score,R,,common,Instant,4
Broken Wings,G,,common,Instant,4
"Ghalta, Primal Hunger",G,,rare,Legendary Creature — Elder Dinosaur,1
Llanowar Loamspeaker,G,,rare,Creature — Elf Druid,1
Lotus Cobra,G,,rare,Creature — Snake,1
Primeval Bounty,G,,mythic,Enchantment,1
Rampaging Baloths,G,,mythic,Creature — Beast,1
Tear Asunder,"B,G",,uncommon,Instant,4
Tireless Provisioner,G,,uncommon,Creature — Elf Scout,1
Skyfisher Spider,"B,G",,uncommon,Creature — Spider,2
Circuit Mender,,,uncommon,Artifact Creature — Insect,4
Haywire Mite,G,,uncommon,Artifact Creature — Insect,4
Psychosis Crawler,,,rare,Artifact Creature — Phyrexian Horror,1
Copperline Gorge,"G,R",,rare,Land,1
Hinterland Harbor,"G,U",,rare,Land,1
Jungle Hollow,"B,G",,common,Land,1
Mystic Monastery,"R,U,W",,uncommon,Land,4
Razorverge Thicket,"G,W",,rare,Land,1
Temple of Enlightenment,"U,W",,rare,Land,1
Temple of Malady,"B,G",,rare,Land,1
Temple of Plenty,"G,W",,rare,Land,1
Temple of Triumph,"R,W",,rare,Land,1
Hero of Iroas,W,,rare,Creature — Human Soldier,1
Hero of Leina Tower,G,,rare,Creature — Human Warrior,1
Temple of Malice,"B,R",,rare,Land,1
Ninja of the Deep Hours,U,,common,Creature — Human Ninja,1
Feed the Swarm,B,,common,Sorcery,1
Oni-Cult Anvil,"B,R",,uncommon,Artifact,4
Temple of Deceit,"B,U",,rare,Land,1
Temple of Silence,"B,W",,rare,Land,1
Aeronaut Cavalry,W,,common,Creature — Human Soldier,2
Ambush Paratrooper,W,,common,Creature — Human Soldier,3
Deadly Riposte,W,,common,Instant,3
Lay Down Arms,W,,uncommon,Sorcery,2
"Loran, Disciple of History",W,,uncommon,Legendary Creature — Human Artificer,1
Mass Production,W,,uncommon,Sorcery,1
"Myrel, Shield of Argive",W,,mythic,Legendary Creature — Human Soldier,1
Prison Sentence,W,,common,Enchantment — Aura,3
Recruitment Officer,W,,uncommon,Creature — Human Soldier,2
Siege Veteran,W,,rare,Creature — Human Soldier,1
Survivor of Korlis,W,,common,Creature — Human Soldier,3
Tocasia's Welcome,W,,rare,Enchantment,1
Scrapwork Cohort,W,,common,Artifact Creature — Soldier,2
Veteran's Powerblade,W,,common,Artifact — Equipment,1
Air Marshal,U,,common,Creature — Human Soldier,3
Curate,U,,common,Instant,1
Desynchronize,U,,common,Instant,2
Fallaji Archaeologist,U,,common,Creature — Human Scout,3
Flow of Knowledge,U,,uncommon,Instant,1
"Hurkyl, Master Wizard",U,,rare,Legendary Creature — Human Wizard Advisor,1
Keeper of the Cadence,U,,uncommon,Creature — Human Wizard,1
Lat-Nam Adept,U,,common,Creature — Human Wizard,1
Mightstone's Animation,U,,common,Enchantment — Aura,1
A-Mightstone's Animation,U,,common,Enchantment — Aura,1
Skystrike Officer,U,,rare,Creature — Human Soldier,1
Splitting the Powerstone,U,,uncommon,Sorcery,1
A-Splitting the Powerstone,U,,uncommon,Instant,1
"Teferi, Temporal Pilgrim",U,,mythic,Legendary Planeswalker — Teferi,1
"Urza, Powerstone Prodigy",U,,uncommon,Legendary Creature — Human Artificer,1
"A-Urza, Powerstone Prodigy",U,,uncommon,Legendary Creature — Human Artificer,1
Weakstone's Subjugation,U,,common,Enchantment — Aura,2
Zephyr Sentinel,U,,uncommon,Creature — Human Soldier,2
Coastal Bulwark,,,common,Artifact Creature — Wall,1
Combat Courier,U,,common,Artifact Creature — Construct,1
Depth Charge Colossus,U,,common,Artifact Creature — Dreadnought,1
Surge Engine,U,,mythic,Artifact Creature — Construct,1
Terisian Mindbreaker,U,,rare,Artifact Creature — Juggernaut,1
"Ashnod, Flesh Mechanist",B,,rare,Legendary Creature — Human Artificer,1
Ashnod's Intervention,B,,common,Instant,2
Battlefield Butcher,B,,uncommon,Creature — Human Soldier,1
Dreams of Steel and Oil,B,,uncommon,Sorcery,1
"Gix, Yawgmoth Praetor",B,,mythic,Legendary Creature — Phyrexian Praetor,1
Gix's Command,B,,rare,Sorcery,1
Gixian Infiltrator,B,,common,Creature — Phyrexian Human,3
Gixian Skullflayer,B,,common,Creature — Phyrexian Human Assassin,1
Gurgling Anointer,B,,uncommon,Creature — Phyrexian Horror,1
Kill-Zone Acrobat,B,,common,Creature — Human Soldier,1
Overwhelming Remorse,B,,common,Instant,2
Painful Quandary,B,,rare,Enchantment,3
Powerstone Fracture,B,,common,Sorcery,3
